,YESBANK,UCOBANK
Total Return,-1.26%,-1.23%
Sharpe Ratio,-8.29,-8.17
Max Drawdown,1.26%,1.23%
Drawdown Duration,445,445
Signals,97,95
Orders,97,95
Fills,97,95
