datetime,YESBANK,PSB,cash,commission,total,returns,equity_curve,drawdown
2026-01-22 00:00:00,0.0,0.0,10000.0,0.0,10000.0,,,
2026-01-22 09:15:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 09:20:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 09:25:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 09:30:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 09:35:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 09:40:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 09:45:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 09:50:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 09:55:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 10:00:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 10:05:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 10:10:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 10:15:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 10:20:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 10:25:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 10:30:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 10:35:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 10:40:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 10:45:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 10:50:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 10:55:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 11:00:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 11:05:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 11:10:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 11:15:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 11:20:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 11:25:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 11:30:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 11:35:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 11:40:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 11:45:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 11:50:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 11:55:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 12:00:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 12:05:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 12:10:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 12:15:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 12:20:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 12:25:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 12:30:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 12:35:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 12:40:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 12:45:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 12:50:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 12:55:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 13:00:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 13:05:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 13:10:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 13:15:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 13:20:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 13:25:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 13:30:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 13:35:00,0.0,0.0,10000.0,0.0,10000.0,0.0,1.0,0.0
2026-01-22 13:40:00,1989.9599999999998,1973.09,6033.85,2.6,9996.9,-0.00031000000000003247,0.99969,0.00031000000000003247
2026-01-22 13:45:00,1989.9599999999998,1975.22,6033.85,2.6,9999.03,0.0002130660504757742,0.9999030000000001,9.699999999990272e-05
2026-01-22 13:50:00,1991.8,1979.48,6033.85,2.6,10005.130000000001,0.0006100591757400853,1.0005130000000002,0.0
2026-01-22 13:55:00,1989.9599999999998,1975.22,6033.85,2.6,9999.03,-0.0006096872304508505,0.9999030000000001,0.0006100000000001105
2026-01-22 14:00:00,1990.88,1975.22,6033.85,2.6,9999.95,9.200892486571632e-05,0.9999950000000001,0.0005180000000001295
2026-01-22 14:05:00,1989.9599999999998,1972.38,6033.85,2.6,9996.19,-0.00037600188000941337,0.999619,0.0008940000000001724
2026-01-22 14:10:00,1989.9599999999998,1977.3500000000001,6033.85,2.6,10001.16,0.0004971894291725398,1.000116,0.00039700000000020275
2026-01-22 14:15:00,1987.2,1973.8,6033.85,2.6,9994.85,-0.0006309268124896628,0.9994850000000001,0.00102800000000014
2026-01-22 14:20:00,1989.0400000000002,1973.09,6033.85,2.6,9995.98,0.00011305822498575147,0.999598,0.0009150000000002212
2026-01-22 14:25:00,1987.2,1978.06,6033.85,2.6,9999.11,0.0003131258766024825,0.9999110000000001,0.0006020000000001025
2026-01-22 14:30:00,1993.64,1980.19,6033.85,2.6,10007.68,0.0008570762797888154,1.000768,0.0
2026-01-22 14:35:00,1994.56,1980.8999999999999,6033.85,2.6,10009.31,0.00016287491206745663,1.000931,0.0
2026-01-22 14:40:00,1997.3200000000002,1978.06,6033.85,2.6,10009.23,-7.992558927583104e-06,1.000923,8.000000000008e-06
